1559195809011268096,23.69499,-0.40978,-1.54934,0.99955,0.00410,0.02941,-0.00445,7.48465,-0.21462,-0.52126,
1559195809211374080,25.62083,-0.46414,-1.43939,0.99968,0.00072,0.02483,-0.00434,7.82048,-0.17034,-0.39265,
1559195809411250944,28.14995,-0.49923,-1.55306,0.99957,-0.01003,0.02702,-0.00469,8.22845,-0.16524,-0.40036,
1559195809611500032,30.24146,-0.54316,-1.88490,0.99913,-0.02649,0.03191,-0.00480,8.42602,-0.22583,-0.54742,
1559195809811317248,32.15808,-0.60109,-2.13329,0.99885,-0.03610,0.03119,-0.00477,8.60271,-0.29593,-0.61629,
1559195810011429376,34.07462,-0.64381,-2.31274,0.99867,-0.04138,0.03049,-0.00504,8.79075,-0.20353,-0.63318,
1559195810211280384,35.74464,-0.67966,-2.44350,0.99840,-0.04777,0.02990,-0.00500,8.87943,-0.27104,-0.56177,
1559195810411304448,36.93219,-0.71742,-2.46689,0.99822,-0.05263,0.02775,-0.00503,8.79069,-0.25719,-0.56362,
1559195810611378944,36.33276,-0.70667,-2.28022,0.99808,-0.05759,0.02202,-0.00516,8.12669,-0.20265,-0.48276,
1559195810811470592,29.31016,-0.54191,-1.84435,0.99779,-0.06394,0.01761,-0.00492,5.59419,-0.16161,-0.25019,
1559195811011483392,30.26256,-0.56751,-1.88196,0.99764,-0.06670,0.01527,-0.00499,5.68498,-0.13190,-0.23373,
1559195811211369984,31.27680,-0.59310,-1.90446,0.99746,-0.06808,0.02025,-0.00536,5.79758,-0.15867,-0.11030,
1559195811411395072,32.32326,-0.61809,-1.93058,0.99740,-0.06682,0.02613,-0.00617,5.78869,-0.15456,-0.17448,
1559195811611503104,33.38527,-0.64584,-1.98813,0.99751,-0.06533,0.02564,-0.00641,5.79440,-0.18865,-0.35549,
1559195811811403264,34.49700,-0.68112,-2.05455,0.99762,-0.06401,0.02468,-0.00689,5.91235,-0.19301,-0.29762,
1559195812011438592,35.63776,-0.71377,-2.10848,0.99769,-0.06208,0.02661,-0.00737,5.97971,-0.19529,-0.26668,
1559195812211484160,36.79595,-0.75209,-2.16678,0.99767,-0.06182,0.02772,-0.00784,6.01289,-0.20712,-0.32507,
1559195812411422720,37.98153,-0.79687,-2.23741,0.99779,-0.06012,0.02693,-0.00822,6.06921,-0.23015,-0.36920,
1559195812611295488,39.21160,-0.84977,-2.30691,0.99794,-0.05767,0.02693,-0.00849,6.14015,-0.23245,-0.34174,
1559195812811447040,40.46447,-0.89714,-2.37495,0.99798,-0.05666,0.02716,-0.00894,6.19332,-0.24574,-0.34634,
1559195813011387648,41.73256,-0.94929,-2.44300,0.99808,-0.05522,0.02643,-0.00909,6.25949,-0.26538,-0.36385,
1559195813211427328,43.02079,-0.99846,-2.51442,0.99813,-0.05454,0.02613,-0.00906,6.33519,-0.24398,-0.36653,
1559195813411558656,44.33048,-1.04625,-2.58154,0.99820,-0.05320,0.02625,-0.00903,6.40875,-0.27620,-0.33932,
1559195813611588608,45.66083,-1.08412,-2.65433,0.99817,-0.05402,0.02577,-0.00882,6.47350,-0.22403,-0.37315,
1559195813811622400,47.01326,-1.12220,-2.72424,0.99812,-0.05479,0.02622,-0.00873,6.56509,-0.25130,-0.36473,
1559195814011556864,48.39616,-1.16366,-2.79498,0.99817,-0.05255,0.02852,-0.00908,6.64960,-0.21913,-0.33983,
1559195814211443200,49.79379,-1.20215,-2.87347,0.99802,-0.05485,0.02966,-0.00865,6.70356,-0.21606,-0.39285,
1559195814411424256,51.20923,-1.25381,-2.95990,0.99818,-0.05230,0.02907,-0.00771,6.74854,-0.31149,-0.44358,
1559195814611449088,52.63672,-1.29051,-3.04983,0.99830,-0.05055,0.02823,-0.00683,6.86028,-0.23727,-0.41414,
1559195814811380224,54.08557,-1.32466,-3.13523,0.99836,-0.05061,0.02636,-0.00547,6.92822,-0.19785,-0.40707,
1559195815011344128,55.53518,-1.35575,-3.21762,0.99836,-0.05116,0.02548,-0.00369,7.03289,-0.15158,-0.38639,
1559195815211394304,56.97980,-1.38244,-3.29334,0.99828,-0.05118,0.02852,-0.00179,7.14272,-0.15994,-0.36825,
1559195815411174144,58.43363,-1.40218,-3.37492,0.99775,-0.05806,0.03348,0.00035,7.17913,-0.06693,-0.43686,
1559195815611274752,59.89269,-1.41505,-3.47242,0.99735,-0.06581,0.03074,0.00312,7.15196,-0.12195,-0.53102,
